"","Pool","DRYING","BASS","min","max","mean","median"
"1",1,"DRY","NONE",8.56,75.22,29.39,21.225
"2",2,"DRY","BASS",6.75,187.09,57.619,28.89
"3",3,"WET","NONE",12.3,130.45,75.438,78.415
"4",4,"WET","BASS",22.22,80.58,51.486,48.5
"5",5,"DRY","NONE",25.24,114.94,65.822,71.32
"6",6,"DRY","BASS",6.65,129.94,35.567,24.73
"7",7,"WET","NONE",15.94,79.46,52.4815,49.48
"8",8,"WET","BASS",15.99,106.65,47.3815,47.72
"9",9,"DRY","NONE",5.59,56.35,24.256,21.76
"10",10,"DRY","BASS",18.01,139.7,67.015,63.145
"11",11,"WET","NONE",19.01,105.21,49.38,43.285
"12",12,"WET","BASS",1.93,17.32,9.0815,7.705
"13",13,"DRY","NONE",7.99,63.43,36.619,33.37
"14",14,"DRY","BASS",6.7,53.5,21.587,13.845
"15",15,"WET","NONE",11.08,78.51,39.7975,36.68
"16",16,"WET","BASS",4.66,56.64,19.803,13.135
"17",17,"DRY","NONE",7.31,51.44,24.343,21.44
"18",18,"DRY","BASS",7.92,44.33,23.184,21.405
"19",19,"WET","NONE",21.8,55.09,38.871,38.56
"20",20,"WET","BASS",5.92,66.84,30.7575,27.49
