Year,Riffle,Species,Adult,YOY,Total
2005,1,O. meeki,6.6,0.6,7.2
2005,2,O. meeki,12.8,4.6,17.4
2005,3,O. meeki,3.6,1.8,5.4
2005,4,O. meeki,5,1,6
2005,5,O. meeki,3,3.6,6.6
2005,6,O. meeki,5.4,4,9.4
2005,7,O. meeki,1.8,1.6,3.4
2005,8,O. meeki,1,0.8,1.8
2005,9,O. meeki,6.2,2.4,8.6
2005,10,O. meeki,2.2,2.6,4.8
2005,1,O. williamsi,5.4,0.4,5.8
2005,2,O. williamsi,4.8,1.6,6.4
2005,3,O. williamsi,4,0.6,4.6
2005,4,O. williamsi,6.6,0.6,7.2
2005,5,O. williamsi,10.6,9.2,19.8
2005,6,O. williamsi,6.2,3.6,9.8
2005,7,O. williamsi,12.6,16.4,29
2005,8,O. williamsi,7.2,6.6,13.8
2005,9,O. williamsi,8.6,1.6,10.2
2005,10,O. williamsi,8,3.2,11.2
2006,1,O. meeki,8.2,1,9.2
2006,2,O. meeki,5.8,0.8,6.6
2006,3,O. meeki,1.4,1.8,3.2
2006,4,O. meeki,3.8,0.4,4.2
2006,5,O. meeki,2.6,0.2,2.8
2006,6,O. meeki,3,0.6,3.6
2006,7,O. meeki,1.6,0.2,1.8
2006,8,O. meeki,1.8,1.4,3.2
2006,9,O. meeki,5.6,1.4,7
2006,10,O. meeki,0.8,0.2,1
2006,1,O. williamsi,6,1,7
2006,2,O. williamsi,6.6,2,8.6
2006,3,O. williamsi,14.8,12.2,27
2006,4,O. williamsi,12,1.2,13.2
2006,5,O. williamsi,10.6,1.4,12
2006,6,O. williamsi,6.2,0.4,6.6
2006,7,O. williamsi,11,0.6,11.6
2006,8,O. williamsi,14.4,2.2,16.6
2006,9,O. williamsi,5.2,1.2,6.4
2006,10,O. williamsi,10.4,2.2,12.6
2007,1,O. meeki,4.8,2.2,7
2007,2,O. meeki,3.2,3,6.2
2007,3,O. meeki,0.2,3,3.2
2007,4,O. meeki,0.6,0.4,1
2007,5,O. meeki,0.6,2.2,2.8
2007,6,O. meeki,1.4,0.6,2
2007,7,O. meeki,0.6,0.4,1
2007,8,O. meeki,1.2,0.6,1.8
2007,9,O. meeki,3,2.4,5.4
2007,10,O. meeki,3.2,1,4.2
2007,1,O. williamsi,6.2,7.2,13.4
2007,2,O. williamsi,6.6,5.8,12.4
2007,3,O. williamsi,7.2,11,18.2
2007,4,O. williamsi,3.2,4.8,8
2007,5,O. williamsi,6.6,4.8,11.4
2007,6,O. williamsi,5.6,2.6,8.2
2007,7,O. williamsi,5.6,1.4,7
2007,8,O. williamsi,12.8,3.6,16.4
2007,9,O. williamsi,6.8,0.6,7.4
2007,10,O. williamsi,5.8,1.8,7.6
