MACRO,BLOCK,ENCLOSURE,TREAT,SILT_VOL1,SILT_VOL2,SILT_VOL3,SILT_VOL4,CHLA1,CHLA2,CHLA3,CHLA4,AFDM1,AFDM2,AFDM3,AFDM4,SILT_DRY1,SILT_DRY2,SILT_DRY3,SILT_DRY4,OM1,OM2,OM3,OM4,INVERTS1,INVERTS2,INVERTS3,INVERTS4,SQRT_CHLA(1),SQRT_CHLA(2),SQRT_CHLA(3),SQRT_CHLA(4),LN_AFDM1,LN_AFDM2,LN_AFDM3,LN_AFDM4,LN_SILT_DRY1,LN_SILT_DRY2,LN_SILT_DRY3,LN_SILT_DRY4,LN_INVERTS1,LN_INVERTS2,LN_INVERTS3,LN_INVERTS4,LN_OM1,LN_OM2,LN_OM3,LN_OM4,OMINV100(1),OMINV100(2),OMINV100(3),OMINV100(4),LN_CHLA1,LN_CHLA2,LN_CHLA3,LN_CHLA4,ASNOMINV1,ASNOMINV2,ASNOMINV3,ASNOMINV4,ASNOM1,ASNOM2,ASNOM3,ASNOM4,BIOMINV1,BIOMINV2,BIOMINV3,BIOMINV4,LN_BIOMINV1,LN_BIOMINV2,LN_BIOMINV3,LN_BIOMINV4,BIOMDET1,BIOMDET2,BIOMDET3,BIOMDET4,LN_BIOMDET1,LN_BIOMDET2,LN_BIOMDET3,LN_BIOMDET4,LN_BDET1,LN_BDET2,LN_BDET3,LN_BDET4
margin,1,a,n,47,50,84,59,99.53323457,72.22716049,144.3631605,162.3883951,912.4382716,1292.592593,1718.37037,1607.932099,1003.82716,1412.962963,1879.62963,1767.814815,9.104046243,8.519003932,8.579310345,9.044087351,2.043209877,0.395061728,0.117283951,1.950617284,10.02662628,8.557286982,12.05666457,12.78234701,6.8172158,7.165178582,7.449713439,7.383325945,6.912570826,7.254151653,7.539361909,7.478065005,1.112912839,0.332938664,0.110900696,1.082014397,2.312935962,2.253290214,2.2596056,2.306984138,93.95770393,67.1875,52.63157895,85.75949367,4.600491604,4.279816159,4.972332073,5.089990966,69.98070569,42.21197931,31.75689068,59.04765547,5.223471359,4.886957086,4.921637113,5.188975103,0.0311,0.0043,0.001,0.0271,-3.438899249,-5.240048458,-6.214608098,-3.571985703,91.38888889,120.3703704,161.2592593,159.882716,4.526006721,4.798846783,5.089195422,5.080675628,4.515123905,4.790573409,5.083013376,5.074440522
margin,1,b,s,45,50,61,44,91.74777778,98.46502058,115.5468025,49.13550617,996.3888889,1072.530864,1641.351852,1051.925926,1098.888889,1180.555556,1795.734568,1152.148148,9.32760364,9.150326797,8.597190187,8.698727016,1.117283951,0.388888889,0.672839506,0.882716049,9.630564769,9.973215157,10.79568444,7.080643062,6.905140753,6.978708368,7.40388455,6.959328164,7.002964444,7.074587117,7.493726167,7.050251001,0.750134112,0.328504067,0.514522486,0.632715441,2.334820276,2.317505902,2.261470367,2.271994641,100,73.01587302,49.5412844,53.84615385,4.519043266,4.589701364,4.749675664,3.894581913,90.00007602,46.89974223,29.69700251,32.57899791,5.352107877,5.250099331,4.931919507,4.990314646,0.0186,0.0046,0.0054,0.0077,-3.932225713,-5.184988681,-5.051457289,-4.744432253,102.5,108.0246914,154.382716,100.2222222,4.639571613,4.691574383,5.045891209,4.61731832,4.629862799,4.682359825,5.039434689,4.607389943
margin,1,c,l,50,74,24,28,103.5197531,93.01525926,33.7574321,14.82409877,1261.728395,1807.975309,532.7407407,697.7530864,1393.82716,1983.382716,579.7037037,773.2839506,9.47741364,8.84385076,8.101201124,9.76754582,0.135802469,0.932098765,0.283950617,0.99382716,10.22349026,9.696146619,5.89554341,3.977951579,7.141030052,7.500515836,6.279910217,6.549297442,7.240525787,7.59306317,6.36424065,6.651938668,0.127339422,0.658606855,0.249941744,0.690055988,2.349221858,2.286846972,2.208406397,2.376536593,100,49.66887417,69.56521739,47.82608696,4.639762446,4.532763558,3.519200603,2.696254151,90.00007602,29.78119481,44.07924708,28.57190228,5.438324721,5.073786221,4.646742458,5.605333399,0.0023,0.0075,0.0032,0.0077,-5.713832811,-4.767689115,-5.472670754,-4.744432253,132.0987654,175.4074074,46.96296296,75.5308642,4.89109145,5.172796135,3.870429108,4.337694113,4.883549866,5.167111311,3.849359269,4.32454137
margin,2,a,n,55,94,28,72,90.6345679,152.7604444,48.02288066,60.71288889,1221.203704,2576.296296,707.2592593,1870.222222,1343.425926,2823.481481,769.4814815,2070.666667,9.097801365,8.754623921,8.086253369,9.680188882,2.617283951,0.641975309,0.203703704,0.87654321,9.572594627,12.40001792,7.001634142,7.855755144,7.108410823,7.854496181,6.562810212,7.534347091,7.20372238,7.94608008,6.64701562,7.636108715,1.285723454,0.495899974,0.185403223,0.629431366,2.312317713,2.277741421,2.206762653,2.368390519,86.32075472,93.26923077,100,62.67605634,4.506835684,5.028870972,3.871677578,4.106156013,59.67870694,68.85852122,90.00007602,38.81155789,5.219878394,5.022463892,4.638149827,5.555043195,0.0366,0.0097,0.0041,0.0089,-3.280751229,-4.537511538,-5.278514739,-4.615220522,122.2222222,247.1851852,62.22222222,200.4444444,4.81398941,5.514175182,4.146655857,5.305513633,4.805840881,5.510137793,4.130712206,5.300537123
margin,2,b,s,65,78,85,47,119.3062963,126.4851852,109.3750617,67.94846091,1600.524691,1878.740741,1865.277778,1322.382716,1757.407407,2048.703704,2040.524691,1436.981481,8.926940639,8.296122209,8.588326048,7.974964668,27.59259259,1.049382716,0.709876543,0.734567901,10.96842269,11.29093376,10.50595363,8.303520994,7.378711387,7.538889142,7.531701233,7.187946401,7.472163796,7.625450527,7.621452205,7.27099566,3.353147684,0.717538634,0.536421171,0.550758334,2.295252338,2.229597346,2.260546322,2.194438998,,51.76470588,51.30434783,57.14285714,4.781694105,4.840125188,4.694782909,4.21874949,,31.17457912,30.86679387,34.84993401,5.121582306,4.75880138,4.926821871,4.574179433,0.0366,0.0088,0.0059,0.0068,-3.280751229,-4.625372893,-4.976233867,-4.853631545,156.882716,169.962963,175.2469136,114.5987654,5.061852454,5.141446942,5.17188593,4.750125277,5.055498495,5.135580548,5.166195914,4.741437031
margin,2,c,l,55,90,71,32,65.03512346,105.4744444,95.21888889,67.54291358,1301.666667,2150,1953.814815,817.9753086,1415.401235,2368.888889,2139.203704,895.4074074,8.03550012,9.240150094,8.666256915,8.647694683,0.333333333,1.141975309,1.444444444,0.37037037,8.126199816,10.31864548,9.809122738,8.279064777,7.172168724,7.673688129,7.578050744,6.708053935,7.255874592,7.770598351,7.668656292,6.798395005,0.287682072,0.761728445,0.893817876,0.315081047,2.201161276,2.326316277,2.268641152,2.266718994,70.37037037,45.40540541,59.82905983,75,4.174927485,4.658468691,4.556178335,4.212763153,44.72495093,27.00410972,36.74759966,48.59041893,4.608975394,5.301783298,4.97164011,4.960964648,0.0038,0.0084,0.014,0.0045,-5.339139361,-4.66704559,-4.199705078,-5.203007187,113.7345679,218.8888889,185.3888889,77.43209877,4.742621355,5.393122368,5.227835292,4.362233267,4.733867382,5.388564244,5.222455721,4.349401407
margin,3,a,n,40,60,78,72,81.88082305,130.1491358,124.7759259,106.9102222,1070.123457,1669.62963,1841.185185,1738.666667,1167.160494,1858.148148,2010.185185,1906.222222,8.313941189,10.14550528,8.407185629,8.789927722,1.413580247,0.265432099,1.12345679,0.586419753,9.103890544,11.45203632,11.21498667,10.38798451,6.976463336,7.420955858,7.518707747,7.461448803,7.063185563,7.527873677,7.606479472,7.553403129,0.881111225,0.235413644,0.753045322,0.46147975,2.23151233,2.411036303,2.241473826,2.281354074,99.12663755,100,34.06593407,48.42105263,4.405264813,4.868680991,4.826519536,4.671989438,82.42212415,90.00007602,19.91706657,28.96078564,4.769046304,5.822969964,4.822659183,5.042769777,0.0227,0.0047,0.0062,0.0046,-3.742280231,-5.167289104,-4.933674253,-5.184988681,97.03703704,188.5185185,169,167.5555556,4.585345336,5.244486743,5.135798437,5.127265402,4.575092731,5.239196244,5.129898715,5.121314971
margin,3,b,s,43,30,64,56,92.92176132,38.60296296,98.43463374,62.92879012,1102.604938,639.6296296,1638.320988,1314.617284,1197.62963,695.1851852,1790.024691,1427.654321,7.934397163,7.991475759,8.474950342,7.917675545,0.191358025,1.012345679,1.024691358,0.518518519,9.691324023,6.293088507,9.971691619,7.995548144,7.006337317,6.462451489,7.402037403,7.182061252,7.088934208,6.545615696,7.490543188,7.264488246,0.175093854,0.699301046,0.705417273,0.417735201,2.189908677,2.196276991,2.24865151,2.188035323,100,82.92682927,36.14457831,67.85714286,4.531757863,3.653329034,4.589392711,4.142003772,90.00007602,56.0236945,21.18903099,42.73214614,4.550862055,4.58366989,4.861624603,4.541251029,0.0035,0.0136,0.006,0.0057,-5.403677882,-4.22673375,-4.96184513,-5.005647753,95.02469136,55.55555556,151.7037037,113.037037,4.56460536,4.035223439,5.028499467,4.736523282,4.554136767,4.017383521,5.021929301,4.727715526
margin,3,c,l,31,50,27,19,72.73263374,74.56460905,57.20233333,30.74387654,699.4135802,976.2345679,559.8333333,446.617284,760.0740741,1064.506173,614.3333333,487.5493827,7.980866062,8.292258626,8.871405317,8.395477508,0.166666667,0.901234568,0.290123457,0.259259259,8.586770857,8.692790637,7.629045375,5.63417044,6.551670989,6.884726713,6.329423773,6.10393859,6.634730691,6.971205245,6.422164126,6.191440557,0.15415068,0.642503448,0.254737917,0.230523659,2.195096321,2.229181648,2.289642226,2.240228457,81.48148148,,65.95744681,95.23809524,4.286790166,4.311665985,4.04659469,3.425690838,54.5691014,,41.26746224,72.24727087,4.577571498,4.756580054,5.089636133,4.815927118,0.0022,0.0048,0.0031,0.004,-5.744604469,-5.149897361,-5.496768305,-5.298317367,60.66049383,88.27160494,54.5,40.93209877,4.121643431,4.491683464,4.016383021,3.736051614,4.105292643,4.480418481,3.998200702,3.711914566
margin,4,a,s,40,50,42,42,161.1437037,79.73621399,92.06158025,135.8466667,909.1358025,1082.407407,1094.851852,965.6111111,1005.432099,1178.395062,1191.814815,2126.444444,9.577603143,8.145625982,8.1357407,54.59034382,0.098765432,0.240740741,0.345679012,0.913580247,12.73356602,8.985333271,9.64684302,11.698148,6.813593822,6.98786636,6.999287287,6.873796254,6.91416678,7.072756926,7.084071184,7.662676747,0.094187215,0.215708573,0.296898728,0.648975962,2.358738855,2.21327573,2.21219427,4.018009514,100,82.05128205,55.35714286,56.08108108,5.082296536,4.378723861,4.522457704,4.911526799,90.00007602,55.13620862,33.61240299,34.11191809,5.495991456,4.67228045,4.666597735,33.08645102,0.0024,0.0032,0.0031,0.0083,-5.683979847,-5.472670754,-5.496768305,-4.677740879,96.2962963,95.98765432,96.96296296,1160.833333,4.577760924,4.574583695,4.584589478,7.057754496,4.567429858,4.564219582,4.57432908,7.056893417
