Date,Season,Seasnum,April,June,August,October,Stream,Streamnum,Bear,Cave,Falling,Sylamore,Tomahawk,Water,Spring,Reach,Habitat,Totdens,BES,CRC,CSR,DSS,GSD,GSF,LES,OTD,OZM,RBD,SLM,SRD,STD,WTS,BDS,HHC,NHS,SMB,AMM,BTM,NSF,OZB,OZS,ABL,RH,FTD,TSS,YOM,YKD,LPY,Temp,DO,pH,SPC,Length,Cover,Area,Width,Canopy,Depth,Velocity,Substrate,Volume,Arealog,Depthlog,Vellog,Vollog,Richness
4/21/2002,April,4,1,0,0,0,Bear,1,1,0,0,0,0,0,0,1,Run,0.538333268,0,0,0.236341435,0,0,0,0.004376693,0.207892929,0,0.004376693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.905,9.01,6.86,29.65,47.9,30,456.966,9.54,47,37.73333333,8.666666667,4.866666667,172.428504,2.659883888,1.576725172,0.985276743,2.23660906,4
4/21/2002,April,4,1,0,0,0,Bear,1,1,0,0,0,0,0,0,2,Run,0.308615186,0,0,0.258465218,0,0,0,0,0.030861519,0,0.011573069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.905,9.01,6.86,29.65,36.9,50,259.2225,7.025,16.25,33.33333333,23.16666667,4.916666667,86.4075,2.413672695,1.522878745,1.383216752,1.93655144,3
4/21/2002,April,4,1,0,0,0,Bear,1,1,0,0,0,0,0,0,3,Riffle,0.25076623,0,0,0.130607412,0,0,0,0,0.120158819,0,0.036570075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.905,9.01,6.86,29.65,19.4,70,191.4133333,9.866666667,45,23.11111111,14.44444444,4.555555556,44.23774815,2.281972186,1.363820826,1.188772291,1.645793012,3
4/21/2002,April,4,1,0,0,0,Bear,1,1,0,0,0,0,0,0,4,Run,0.485436893,0,0,0.2747756,0,0,0,0.009159187,0.210661293,0,0.036636747,0.009159187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.905,9.01,6.86,29.65,15.9,20,109.18,6.866666667,53.33333333,47.88888889,7.777777778,4.444444444,52.28508889,2.03814309,1.680234761,0.943384582,1.718377851,5
4/21/2002,April,4,1,0,0,0,Bear,1,1,0,0,0,0,0,0,5,Run,0.405057431,0.005786535,0.011573069,0.144663368,0.023146139,0.028932674,0,0,0.046292278,0,0.023146139,0.028932674,0,0,0.011573069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.905,9.01,6.86,29.65,24.6,60,172.815,7.025,26.25,30,17.25,4.666666667,51.8445,2.237581436,1.477121255,1.261262869,1.71470269,9
4/21/2002,April,4,1,0,0,0,Bear,1,1,0,0,0,0,0,0,6,Riffle,0.622683469,0,0.054361255,0.197677292,0.019767729,0.039535458,0.004941932,0,0.098838646,0.004941932,0.019767729,0.004941932,0.009883865,0.004941932,0.009883865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.905,9.01,6.86,29.65,28.5,50,202.35,7.1,58.75,22.16666667,32.5,5.75,44.85425,2.306103209,1.345700391,1.525044807,1.651803599,12
6/17/2002,June,6,0,1,0,0,Bear,1,1,0,0,0,0,0,0,1,Run,0.285776142,0,0.025979649,0,0,0.017319766,0,0,0,0,0,0.017319766,0.025979649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155877896,0,0,17.23,9.16,6.81,35.9,15.5,20,115.475,7.45,51.25,17.58333333,3.5,4.75,20.30435417,2.062487971,1.245101209,0.653212514,1.30758918,5
6/17/2002,June,6,0,1,0,0,Bear,1,1,0,0,0,0,0,0,2,Pool,0.047633791,0,0.003969483,0,0.01587793,0.003969483,0,0,0,0,0,0,0.003969483,0.003969483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003969483,0.011908448,0,0,17.23,9.16,6.81,35.9,34.7,20,251.922,7.26,42.2,32.43333333,4.6,5.266666667,81.706702,2.401266095,1.510991586,0.748188027,1.912257681,7
6/17/2002,June,6,0,1,0,0,Bear,1,1,0,0,0,0,0,0,3,Riffle,0.203737745,0,0.013403799,0,0.016084559,0,0,0,0,0,0,0.042892157,0.016084559,0.00536152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013403799,0.034849877,0,0,17.23,9.16,6.81,35.9,51.2,60,373.0285714,7.285714286,36.42857143,14.47619048,14.76190476,4.714285714,54.00032653,2.571742097,1.160654289,1.197608699,1.732396386,7
6/17/2002,June,6,0,1,0,0,Bear,1,1,0,0,0,0,0,0,4,Pool,0.027786783,0,0.013893391,0,0,0,0,0,0,0,0,0.013893391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.23,9.16,6.81,35.9,15.1,10,71.97666667,4.766666667,48.33333333,37.88888889,1.666666667,5.444444444,27.27115926,1.85719173,1.57851187,0.425968732,1.4357036,2
