hab_type,pool,qdep,pred,cray_density,csr_den_2,pool_size,canopy_cov_2,max_dep_2,biofilm
Pool        ,P1          ,12.1875,1,0.290472633,0.157569501,83.928125,53.72,64.875,-0.239878798
Pool        ,P1          ,53.375,1,0.290472633,0.157569501,83.928125,53.72,64.875,0.353505597
Pool        ,P1          ,38.5625,1,0.290472633,0.157569501,83.928125,53.72,64.875,-0.404006397
Pool        ,P2          ,17.5625,1,0.10488229,0.395439465,127.3089063,62.3,51.375,0.631259995
Pool        ,P2          ,30.5,1,0.10488229,0.395439465,127.3089063,62.3,51.375,0.441881996
Pool        ,P2          ,33.4375,1,0.10488229,0.395439465,127.3089063,62.3,51.375,0.366130797
Pool        ,P3          ,44.1875,1,1.338598707,0.208441751,81.92128125,43.06,39.5,0.0252504
Pool        ,P3          ,62.4375,1,1.338598707,0.208441751,81.92128125,43.06,39.5,0.0126252
Pool        ,P3          ,31,1,1.338598707,0.208441751,81.92128125,43.06,39.5,0.0378756
Pool        ,P4          ,27,2,0.327775033,0.30900229,124.6417188,64.12,73,1.628650787
Pool        ,P4          ,5.6875,2,0.327775033,0.30900229,124.6417188,64.12,73,0.416631597
Pool        ,P4          ,18.5625,2,0.327775033,0.30900229,124.6417188,64.12,73,1.477148388
Pool        ,P6          ,17.6875,2,0.04592325,0.505485707,36.5428125,56.32,49.875,0.340880397
Pool        ,P6          ,13.5,2,0.04592325,0.505485707,36.5428125,56.32,49.875,0.290379598
Pool        ,P6          ,13.625,2,0.04592325,0.505485707,36.5428125,56.32,49.875,0.568133995
Pool        ,P7          ,31.3125,3,0.014689465,0.283657142,88.41660938,38.9,58.125,3.295177174
Pool        ,P7          ,16.9375,3,0.014689465,0.283657142,88.41660938,38.9,58.125,1.24989479
Pool        ,P7          ,41,3,0.014689465,0.283657142,88.41660938,38.9,58.125,0.534466796
Pool        ,P8          ,22.375,3,0.188192504,0.087465697,78.05314375,54.76,64.375,0.391381197
Pool        ,P8          ,32.6625,3,0.188192504,0.087465697,78.05314375,54.76,64.375,0.542883596
Pool        ,P8          ,24,3,0.188192504,0.087465697,78.05314375,54.76,64.375,0.189377998
Pool        ,P9          ,19.6875,1,0.502739999,0.539489846,185.776875,71.66,76.75,0.972140392
Pool        ,P9          ,18.9375,1,0.502739999,0.539489846,185.776875,71.66,76.75,1.763920786
Pool        ,P9          ,16.3125,1,0.502739999,0.539489846,185.776875,71.66,76.75,1.342479589
