POOL,SITE,SPNUM,DEPTH,SUBSTRAT,AREAM2,COND,DO,HABCOV,DENSIOM,MAXDEPTH,STO_SM_DEN,STO_L_DEN
1,Bowman      ,2,18.72,5,49.7,19,5.1,7,74.3,48,0,0
2,Bowman      ,3,10.9,6.2,80.4,27,6,5,85.6,28,0,0
3,Bowman      ,4,14.698,5.849,253.7,29,4.8,10,73.5,42.5,0.032,0.071
1,Haw         ,7,17.163,5.875,63.2,32,4.4,20,60.3,38.5,0.616,0.092
2,Haw         ,5,18.085,6.169,44.7,30,5.1,20,68.3,36,0.626,0
3,Haw         ,5,18.154,4.764,185.5,29,4.7,25,72.5,34.5,0,0.016
1,Hurricane   ,13,13.412,6.551,230.4,30,4,3,62.9,40.5,0.595,0.108
2,Hurricane   ,7,9.045,5.732,29.3,39,NA,10,36.1,25,1.676,0
3,Hurricane   ,10,9.86,5.727,59.6,49,NA,7,44.6,24.5,0.725,0.034
1,Indian      ,3,10.023,4.875,54.2,55,5.8,40,94,33,0,0
2,Indian      ,5,4.15,5.2,13.2,55,5.7,40,88.3,20,0.333,0.167
3,Indian      ,11,32.189,4.328,83.4,49,6,40,82.9,81.5,0.698,0.495
4,Indian      ,8,12.814,5.4,20.1,55,4.2,65,78.75,37,0.413,0.109
5,Indian      ,5,16.273,5.697,19.7,50,6.2,70,97.2,38.5,0,0.051
6,Indian      ,7,14.135,5.365,39.6,50,6.1,50,99,41,0.101,0.149
7,Indian      ,11,27.081,4.597,283,47,4.3,35,79.1,65,0.488,0.524
