PARTNERS,TYPE,TREATMEN,LONGEV,LLONGEV,THORAX,RESID1,PREDICT1,RESID2,PREDICT2
8,0,1,35,1.544068044,0.64,-5.86845578,40.86845578,-0.04743024,1.591498284
8,0,1,37,1.568201724,0.68,-9.30119593,46.30119593,-0.071050669,1.639252394
8,0,1,49,1.69019608,0.68,2.69880407,46.30119593,0.050943687,1.639252394
8,0,1,46,1.662757832,0.72,-5.73393608,51.73393608,-0.024248671,1.687006503
8,0,1,63,1.799340549,0.72,11.26606392,51.73393608,0.112334046,1.687006503
8,0,1,39,1.591064607,0.76,-18.16667623,57.16667623,-0.143696006,1.734760613
8,0,1,46,1.662757832,0.76,-11.16667623,57.16667623,-0.072002781,1.734760613
8,0,1,56,1.748188027,0.76,-1.166676229,57.16667623,0.013427414,1.734760613
8,0,1,63,1.799340549,0.76,5.833323771,57.16667623,0.064579937,1.734760613
8,0,1,65,1.812913357,0.76,7.833323771,57.16667623,0.078152744,1.734760613
8,0,1,56,1.748188027,0.8,-6.599416379,62.59941638,-0.034326695,1.782514722
8,0,1,65,1.812913357,0.8,2.400583621,62.59941638,0.030398634,1.782514722
8,0,1,70,1.84509804,0.8,7.400583621,62.59941638,0.062583318,1.782514722
8,0,1,63,1.799340549,0.84,-5.032156529,68.03215653,-0.030928282,1.830268832
8,0,1,65,1.812913357,0.84,-3.032156529,68.03215653,-0.017355475,1.830268832
8,0,1,70,1.84509804,0.84,1.967843471,68.03215653,0.014829208,1.830268832
8,0,1,77,1.886490725,0.84,8.967843471,68.03215653,0.056221893,1.830268832
8,0,1,81,1.908485019,0.84,12.96784347,68.03215653,0.078216187,1.830268832
8,0,1,86,1.934498451,0.84,17.96784347,68.03215653,0.104229619,1.830268832
8,0,1,70,1.84509804,0.88,-3.464896678,73.46489668,-0.032924901,1.878022941
8,0,1,70,1.84509804,0.88,-3.464896678,73.46489668,-0.032924901,1.878022941
8,0,1,77,1.886490725,0.92,-1.897636828,78.89763683,-0.039286326,1.925777051
8,0,1,77,1.886490725,0.92,-1.897636828,78.89763683,-0.039286326,1.925777051
8,0,1,81,1.908485019,0.92,2.102363172,78.89763683,-0.017292032,1.925777051
8,0,1,77,1.886490725,0.94,-4.614006903,81.6140069,-0.063163381,1.949654106
0,9,2,40,1.602059991,0.64,3.060426734,36.93957327,0.04704465,1.555015341
0,9,2,37,1.568201724,0.7,-8.088683491,45.08868349,-0.058444781,1.626646505
0,9,2,44,1.643452676,0.72,-3.805053566,47.80505357,-0.007070884,1.65052356
0,9,2,47,1.672097858,0.72,-0.805053566,47.80505357,0.021574298,1.65052356
0,9,2,47,1.672097858,0.72,-0.805053566,47.80505357,0.021574298,1.65052356
0,9,2,47,1.672097858,0.76,-6.237793716,53.23779372,-0.026179812,1.69827767
0,9,2,68,1.832508913,0.78,12.04583621,55.95416379,0.110354188,1.722154725
0,9,2,47,1.672097858,0.8,-11.67053387,58.67053387,-0.073933921,1.746031779
0,9,2,54,1.73239376,0.84,-10.10327401,64.10327401,-0.061392129,1.793785889
0,9,2,61,1.785329835,0.84,-3.103274015,64.10327401,-0.008456054,1.793785889
0,9,2,71,1.851258349,0.84,6.896725985,64.10327401,0.05747246,1.793785889
0,9,2,75,1.875061263,0.84,10.89672599,64.10327401,0.081275375,1.793785889
0,9,2,89,1.949390007,0.84,24.89672599,64.10327401,0.155604118,1.793785889
0,9,2,58,1.763427994,0.88,-11.53601416,69.53601416,-0.078112005,1.841539998
0,9,2,59,1.770852012,0.88,-10.53601416,69.53601416,-0.070687987,1.841539998
0,9,2,62,1.792391689,0.88,-7.536014165,69.53601416,-0.049148309,1.841539998
0,9,2,79,1.897627091,0.88,9.463985835,69.53601416,0.056087093,1.841539998
0,9,2,96,1.982271233,0.88,26.46398584,69.53601416,0.140731235,1.841539998
0,9,2,58,1.763427994,0.92,-16.96875431,74.96875431,-0.125866115,1.889294108
0,9,2,62,1.792391689,0.92,-12.96875431,74.96875431,-0.096902419,1.889294108
0,9,2,70,1.84509804,0.92,-4.968754314,74.96875431,-0.044196068,1.889294108
0,9,2,72,1.857332496,0.92,-2.968754314,74.96875431,-0.031961612,1.889294108
0,9,2,75,1.875061263,0.92,0.031245686,74.96875431,-0.014232845,1.889294108
0,9,2,96,1.982271233,0.92,21.03124569,74.96875431,0.092977125,1.889294108
0,9,2,75,1.875061263,0.94,-2.685124389,77.68512439,-0.038109899,1.913171163
1,0,3,46,1.662757832,0.64,6.407914295,39.59208571,0.085146061,1.577611771
1,0,3,42,1.62324929,0.68,-3.024825855,45.02482586,-0.00211659,1.625365881
