DATE,SEASON,SEASNUM,STREAM,STREAMNUM,REACH,HABITAT,TOTDENS,LENGTH,AREA,WIDTH,DEPTH,VELOCITY,SUBSTRATE,VOLUME
4/20/2002,April,4,Bear,1,1,Run,0.538333268,47.9,456.966,9.54,37.73333333,8.666666667,4.866666667,172.428504
4/20/2002,April,4,Bear,1,2,Run,0.308615186,36.9,259.2225,7.025,33.33333333,23.16666667,4.916666667,86.4075
4/20/2002,April,4,Bear,1,3,Riffle,0.25076623,19.4,191.4133333,9.866666667,23.11111111,14.44444444,4.555555556,44.23774815
4/20/2002,April,4,Bear,1,4,Run,0.485436893,15.9,109.18,6.866666667,47.88888889,7.777777778,4.444444444,52.28508889
4/20/2002,April,4,Bear,1,5,Run,0.405057431,24.6,172.815,7.025,30,17.25,4.666666667,51.8445
4/20/2002,April,4,Bear,1,6,Riffle,0.622683469,28.5,202.35,7.1,22.16666667,32.5,5.75,44.85425
4/14/2002,April,4,Cave,2,1,Run,0.898156826,26.4,256.08,9.7,46.66666667,7.666666667,4.444444444,119.504
4/14/2002,April,4,Cave,2,2,Run,0.303511597,108.7,1311.317273,12.06363636,27.27272727,20.60606061,4.696969697,357.6319835
4/14/2002,April,4,Cave,2,3,Pool,0.113518653,33.8,352.365,10.425,103.3333333,1.916666667,5.166666667,364.1105
4/14/2002,April,4,Cave,2,4,Riffle,0.277777778,43.2,313.2,7.25,38.88888889,25.27777778,4.888888889,121.8
4/14/2002,April,4,Cave,2,5,Run,0.286516662,31.3,219.8825,7.025,44.16666667,16.91666667,4.5,97.11477083
4/12/2002,April,4,Falling,3,1,Run,0.084175084,24,118.8,4.95,31,33.66666667,4.916666667,36.828
4/12/2002,April,4,Falling,3,2,Riffle,0.063312996,14.6,173.74,11.9,27.55555556,24.77777778,4.666666667,47.87502222
4/12/2002,April,4,Falling,3,3,Run,0.098879367,33.3,273.06,8.2,53.58333333,16.08333333,4.75,146.31465
4/12/2002,April,4,Falling,3,4,Riffle,0.167721519,39.5,316,8,19.53333333,21.2,4.6,61.72533333
4/12/2002,April,4,Falling,3,5,Run,0.113843733,32.2,298.655,9.275,25.83333333,17.33333333,3.75,77.15254167
4/12/2002,April,4,Falling,3,6,Pool,0.033711022,18.1,177.9833333,9.833333333,59.11111111,5.333333333,5.222222222,105.2079259
4/12/2002,April,4,Falling,3,7,Run,0.055444666,16.7,90.18,5.4,35.44444444,18.66666667,5.111111111,31.9638
4/12/2002,April,4,Falling,3,8,Riffle,0.079795723,24.1,250.64,10.4,23.75,22.91666667,4.166666667,59.527
4/13/2002,April,4,Tomahawk,5,1,Run,1.21116207,22.6,206.4133333,9.133333333,19.11111111,12,3.555555556,39.44788148
4/13/2002,April,4,Tomahawk,5,2,Riffle,0.502232143,14,119.4666667,8.533333333,26.22222222,20,5,31.32681481
4/13/2002,April,4,Tomahawk,5,3,Run,0.831390831,19.5,128.7,6.6,35.11111111,17.77777778,4.888888889,45.188
4/13/2002,April,4,Tomahawk,5,4,Riffle,0.400551296,18.8,154.7866667,8.233333333,12.55555556,21.11111111,4.777777778,19.43432593
4/13/2002,April,4,Tomahawk,5,5,Run,0.513442868,31.2,128.544,4.12,49.33333333,11.33333333,4,63.41504
4/13/2002,April,4,Tomahawk,5,6,Riffle,0.220088035,14.7,199.92,13.6,14.22222222,21.66666667,3,28.43306667
4/13/2002,April,4,Tomahawk,5,7,Pool,0.501915809,35.2,304.832,8.66,47.8,3.933333333,4.6,145.709696
4/13/2002,April,4,Tomahawk,5,8,Run,0.727682876,21.9,137.4225,6.275,30.41666667,17.91666667,4.833333333,41.79934375
4/19/2002,April,4,Water,6,1,Riffle,0.485095958,62,408.1666667,6.583333333,13.55555556,13.88888889,3.555555556,55.32925926
4/19/2002,April,4,Water,6,2,Run,1.017080745,34.5,257.6,7.466666667,36.88888889,9.111111111,3.111111111,95.02577778
4/19/2002,April,4,Water,6,3,Riffle,0.819529207,14.8,114.7,7.75,12.83333333,18.33333333,3.5,14.71983333
4/19/2002,April,4,Water,6,4,Run,0.755395683,27.8,213.1333333,7.666666667,20.66666667,7.666666667,3.444444444,44.04755556
4/19/2002,April,4,Water,6,5,Run,0.952359611,74.2,446.26,6.014285714,19.23809524,13.80952381,3.666666667,85.85192381
4/19/2002,April,4,Water,6,6,Pool,1.011147906,35.8,197.795,5.525,34.66666667,4.083333333,4.5,68.56893333
4/19/2002,April,4,Water,6,7,Riffle,1.01284585,27.6,121.44,4.4,21.88888889,16.11111111,3.777777778,26.58186667
4/26/2002,April,4,Spring,7,1,Run,0.618709784,11.6,80.81333333,6.966666667,11.55555556,2.111111111,3.555555556,9.33842963
4/26/2002,April,4,Spring,7,2,Riffle,0.180023229,24.6,172.2,7,6.25,3.5,3.833333333,10.7625
4/26/2002,April,4,Spring,7,3,Pool,0.280623993,34.4,277.952,8.08,18.66666667,0.8,3.266666667,51.88437333
4/26/2002,April,4,Spring,7,4,Riffle,0.894109397,12.4,57.04,4.6,17.77777778,4.555555556,3.666666667,10.14044444
4/26/2002,April,4,Spring,7,5,Run,1.202838352,21.4,115.56,5.4,17.66666667,3.444444444,3.222222222,20.4156
4/26/2002,April,4,Spring,7,6,Riffle,0.609062855,26.2,123.14,4.7,10.26666667,6.466666667,4.066666667,12.64237333
4/26/2002,April,4,Spring,7,7,Pool,0.509825732,34.8,215.76,6.2,26.06666667,1.2,3.066666667,56.24144
4/26/2002,April,4,Spring,7,8,Riffle,1.1042098,18.9,101.43,5.366666667,11.22222222,6.888888889,3.666666667,11.3827
6/16/2002,June,6,Bear,1,1,Run,0.285776142,15.5,115.475,7.45,17.58333333,3.5,4.75,20.30435417
6/16/2002,June,6,Bear,1,2,Pool,0.047633791,34.7,251.922,7.26,32.43333333,4.6,5.266666667,81.706702
6/16/2002,June,6,Bear,1,3,Riffle,0.203737745,51.2,373.0285714,7.285714286,14.47619048,14.76190476,4.714285714,54.00032653
6/16/2002,June,6,Bear,1,4,Pool,0.027786783,15.1,71.97666667,4.766666667,37.88888889,1.666666667,5.444444444,27.27115926
6/16/2002,June,6,Bear,1,5,Riffle,0.181983621,47.1,208.81,4.433333333,16.33333333,9.222222222,5.166666667,34.10563333
6/16/2002,June,6,Bear,1,6,Pool,0.392250089,17.9,112.1733333,6.266666667,23.88888889,1.555555556,5.111111111,26.79696296
6/10/2002,June,6,Cave,2,1,Run,3.877862595,26.2,262,10,31.83333333,1.166666667,3.75,83.40333333
6/10/2002,June,6,Cave,2,2,Riffle,0.612835725,107.6,1005.163333,9.341666667,18.44444444,5.111111111,4.333333333,185.3967926
6/10/2002,June,6,Cave,2,3,Pool,1.340950893,30.7,324.3966667,10.56666667,70.27777778,0.5,4.722222222,227.9787685
6/10/2002,June,6,Cave,2,4,Riffle,2.551618195,19.3,96.0175,4.975,24.33333333,12,4.833333333,23.36425833
6/10/2002,June,6,Cave,2,5,Run,1.064073227,38,233.0666667,6.133333333,23.83333333,6.388888889,4.388888889,55.54755556
6/9/2002,June,6,Falling,3,1,Run,2.229161662,18.1,52.0375,2.875,18.75,12.41666667,5.166666667,9.75703125
6/9/2002,June,6,Falling,3,2,Riffle,0.953765101,10.9,110.09,10.1,11,5.888888889,4,12.1099
6/9/2002,June,6,Falling,3,3,Pool,0.146003225,37.3,280.8157143,7.528571429,41.38095238,0.047619048,5,116.204217
6/9/2002,June,6,Falling,3,4,Riffle,0.370708546,74,547.6,7.4,12.03703704,10.51851852,4.333333333,65.91481481
6/9/2002,June,6,Falling,3,5,Pool,0.006033183,19.5,165.75,8.5,49.53333333,0,5.4,82.1015
6/9/2002,June,6,Falling,3,6,Run,0.182595905,20.9,98.57833333,4.716666667,31.66666667,6.388888889,5.333333333,31.21647222
6/9/2002,June,6,Falling,3,7,Riffle,0.302151994,19.3,178.718,9.26,17.33333333,13,4.6,30.97778667
6/3/2002,June,6,Tomahawk,5,1,Run,1.663461689,20.7,159.9075,7.725,12.91666667,2.666666667,4.083333333,20.65471875
6/3/2002,June,6,Tomahawk,5,2,Riffle,1.174978867,16.9,118.3,7,9.666666667,2,5.222222222,11.43566667
6/3/2002,June,6,Tomahawk,5,3,Run,1.332068311,15.5,87.83333333,5.666666667,22.11111111,2,5.222222222,19.42092593
6/3/2002,June,6,Tomahawk,5,4,Riffle,0.429287951,17.1,114.1425,6.675,8.583333333,3.583333333,4.75,9.79723125
